fileName,sample,individual,tissue,raw.single.reads
G62369.GTEX-ZTX8-1826.2,GTEX-ZTX8-1826-SM-5N9E5,GTEX-ZTX8,Artery - Tibial,119573333
G33870.GTEX-O5YV-0226-SM-48TBY.1,GTEX-O5YV-0226-SM-48TBY,GTEX-O5YV,Adipose - Subcutaneous,77986666
G18455.GTEX-P4QS-1626-SM-2S1NH.1,GTEX-P4QS-1626-SM-2S1NH,GTEX-P4QS,Muscle - Skeletal,75306666
G60551.GTEX-133LE-2026.2,GTEX-133LE-2026-SM-5K7WM,GTEX-133LE,Muscle - Skeletal,78693333
G58395.GTEX-117YX-0626.2,GTEX-117YX-0626-SM-5EGJI,GTEX-117YX,Heart - Atrial Appendage,97600000
G35631.GTEX-NPJ7-0008-SM-4E3JS.4,GTEX-NPJ7-0008-SM-4E3JS,GTEX-NPJ7,Cells - Transformed fibroblasts,91400000
G18442.GTEX-QLQ7-1626-SM-2S1R8.1,GTEX-QLQ7-1626-SM-2S1R8,GTEX-QLQ7,Skin - Sun Exposed (Lower leg),90426666
G65611.GTEX-13S86-0326.3,GTEX-13S86-0326-SM-5SI6K,GTEX-13S86,Heart - Atrial Appendage,110000000
G65132.GTEX-13SLW-0226.2,GTEX-13SLW-0226-SM-5S2NA,GTEX-13SLW,Adipose - Subcutaneous,71120000
G21088.GTEX-TKQ2-1026-SM-33HB7.1,GTEX-TKQ2-1026-SM-33HB7,GTEX-TKQ2,Artery - Tibial,142506666
G34448.GTEX-XQ3S-0926-SM-4BOPI.7,GTEX-XQ3S-0926-SM-4BOPI,GTEX-XQ3S,Lung,61506666
G59664.GTEX-ZYFG-1826.3,GTEX-ZYFG-1826-SM-5GZWX,GTEX-ZYFG,Colon - Sigmoid,85933333
G61897.GTEX-12ZZY-0426.2,GTEX-12ZZY-0426-SM-5LZW3,GTEX-12ZZY,Nerve - Tibial,76093333
G16686.GTEX-OOBJ-2626.3,GTEX-OOBJ-2626-SM-2I3F6,GTEX-OOBJ,Thyroid,86320000
G58412.GTEX-12ZZY-0011-R7a.2,GTEX-12ZZY-0011-R7a-SM-5EGLB,GTEX-12ZZY,Brain - Putamen (basal ganglia),77720000
G40761.GTEX-VJYA-1426-SM-4KL1Y.2,GTEX-VJYA-1426-SM-4KL1Y,GTEX-VJYA,Testis,99026666
G59628.GTEX-ZZPU-1326.3,GTEX-ZZPU-1326-SM-5GZWS,GTEX-ZZPU,Thyroid,73373333
G60829.GTEX-13O3Q-0011-R1b.2,GTEX-13O3Q-0011-R1b-SM-5KM3L,GTEX-13O3Q,Brain - Hippocampus,157160000
G59609.GTEX-111FC-2026.3,GTEX-111FC-2026-SM-5GZYO,GTEX-111FC,Prostate,81560000
G60882.GTEX-13O21-0726.2,GTEX-13O21-0726-SM-5L3EG,GTEX-13O21,Esophagus - Gastroesophageal Junction,61613333
G58480.GTEX-12KS4-1526.2,GTEX-12KS4-1526-SM-5EQ6E,GTEX-12KS4,Adipose - Visceral (Omentum),79546666
G59113.GTEX-11ZTS-1226.6,GTEX-11ZTS-1226-SM-5EQMQ,GTEX-11ZTS,Lung,82960000
G26755.GTEX-WHSE-0011-R5A-SM-3P5ZO.2,GTEX-WHSE-0011-R5A-SM-3P5ZO,GTEX-WHSE,Brain - Caudate (basal ganglia),118480000
G18717.GTEX-R55E-0011-R11A-SM-2TC6I.2,GTEX-R55E-0011-R11A-SM-2TC6I,GTEX-R55E,Brain - Cerebellar Hemisphere,105280000
G26602.GTEX-WYVS-2326-SM-3NMAI.1,GTEX-WYVS-2326-SM-3NMAI,GTEX-WYVS,Muscle - Skeletal,137880000
G32359.GTEX-QEG5-1426-SM-447AS.2,GTEX-QEG5-1426-SM-447AS,GTEX-QEG5,Esophagus - Mucosa,69613333
G35281.GTEX-TMMY-2226-SM-4DXTN.7,GTEX-TMMY-2226-SM-4DXTN,GTEX-TMMY,Uterus,67426666
G49065.GTEX-ZF2S-2326.1,GTEX-ZF2S-2326-SM-4WWCE,GTEX-ZF2S,Skin - Sun Exposed (Lower leg),66080000
G60111.GTEX-13O21-0626.2,GTEX-13O21-0626-SM-5IJDI,GTEX-13O21,Esophagus - Mucosa,71173333
G48606.GTEX-ZDTS-0001.1,GTEX-ZDTS-0001-SM-4WAXW,GTEX-ZDTS,Cells - EBV-transformed lymphocytes,67106666
G61817.GTEX-ZC5H-0626.2,GTEX-ZC5H-0626-SM-5LU9K,GTEX-ZC5H,Thyroid,63973333
G60573.GTEX-132NY-0826.2,GTEX-132NY-0826-SM-5K7Y7,GTEX-132NY,Breast - Mammary Tissue,69320000
G35183.GTEX-SNOS-0926-SM-4DM7A.1,GTEX-SNOS-0926-SM-4DM7A,GTEX-SNOS,Pancreas,78053333
G62376.GTEX-11GS4-0326.2,GTEX-11GS4-0326-SM-5N9F7,GTEX-11GS4,Artery - Aorta,89013333
G59416.GTEX-ZYFG-1926.4,GTEX-ZYFG-1926-SM-5GID5,GTEX-ZYFG,Colon - Transverse,79186666
G46525.GTEX-Y8DK-0326.1,GTEX-Y8DK-0326-SM-4TT3P,GTEX-Y8DK,Muscle - Skeletal,114413333
G56349.GTEX-ZYFC-1126.3,GTEX-ZYFC-1126-SM-5E44W,GTEX-ZYFC,Heart - Left Ventricle,85813333
G63177.GTEX-13S7M-0011-R10b.2,GTEX-13S7M-0011-R10b-SM-5PNZB,GTEX-13S7M,Brain - Frontal Cortex (BA9),106813333
G59671.GTEX-111CU-2026.3,GTEX-111CU-2026-SM-5GZZC,GTEX-111CU,Muscle - Skeletal,88186666
G62143.GTEX-13N2G-0011-R10a.2,GTEX-13N2G-0011-R10a-SM-5MR34,GTEX-13N2G,Brain - Frontal Cortex (BA9),86706666
G61148.GTEX-YECK-1626.3,GTEX-YECK-1626-SM-5IFHQ,GTEX-YECK,Esophagus - Mucosa,94706666
G18399.GTEX-QEG4-0226-SM-2S1PY.1,GTEX-QEG4-0226-SM-2S1PY,GTEX-QEG4,Skin - Sun Exposed (Lower leg),87906666
G18649.GTEX-RU72-0926-SM-2TF6B.1,GTEX-RU72-0926-SM-2TF6B,GTEX-RU72,Skin - Sun Exposed (Lower leg),80293333
G61213.GTEX-YF7O-1626.3,GTEX-YF7O-1626-SM-5IFII,GTEX-YF7O,Colon - Sigmoid,80226666
G18064.GTEX-O5YW-0526-SM-2YUMX.1,GTEX-O5YW-0526-SM-2YUMX,GTEX-O5YW,Lung,110866666
G64288.GTEX-YJ8O-0126.1,GTEX-YJ8O-0126-SM-5QGRG,GTEX-YJ8O,Artery - Coronary,72186666
G59395.GTEX-ZVZP-0926.4,GTEX-ZVZP-0926-SM-5GIDB,GTEX-ZVZP,Kidney - Cortex,68666666
G53808.GTEX-11ZVC-0011-R4a.2,GTEX-11ZVC-0011-R4a-SM-5BC6Z,GTEX-11ZVC,Brain - Amygdala,83560000
G26628.GTEX-WHPG-0226-SM-3NMB9.1,GTEX-WHPG-0226-SM-3NMB9,GTEX-WHPG,Thyroid,99653333
G62306.GTEX-11NSD-1026.2,GTEX-11NSD-1026-SM-5N9BE,GTEX-11NSD,Testis,85200000
G34431.GTEX-XOTO-0011-R9A-SM-4GICI.3,GTEX-XOTO-0011-R9A-SM-4GICI,GTEX-XOTO,Brain - Spinal cord (cervical c-1),82186666
G23400.GTEX-V955-0726-SM-3GAFG.1,GTEX-V955-0726-SM-3GAFG,GTEX-V955,Heart - Left Ventricle,128533333
G62568.GTEX-ZUA1-0426.2,GTEX-ZUA1-0426-SM-5NQAF,GTEX-ZUA1,Artery - Coronary,94066666
G62034.GTEX-13IVO-0726.2,GTEX-13IVO-0726-SM-5LZYV,GTEX-13IVO,Skin - Not Sun Exposed (Suprapubic),63253333
G62130.GTEX-13N1W-0011-R6a.2,GTEX-13N1W-0011-R6a-SM-5MR43,GTEX-13N1W,Brain - Nucleus accumbens (basal ganglia),72626666
G26618.GTEX-WYVS-1726-SM-3NMAY.1,GTEX-WYVS-1726-SM-3NMAY,GTEX-WYVS,Breast - Mammary Tissue,117560000
G33811.GTEX-PX3G-1326-SM-48U18.3,GTEX-PX3G-1326-SM-48U18,GTEX-PX3G,Adrenal Gland,66200000
G60572.GTEX-13FHO-0011-R3b.2,GTEX-13FHO-0011-R3b-SM-5K7YA,GTEX-13FHO,Brain - Anterior cingulate cortex (BA24),86480000
G34038.GTEX-S4Z8-0726-SM-4GICB.2,GTEX-S4Z8-0726-SM-4GICB,GTEX-S4Z8,Esophagus - Muscularis,92480000
G48999.GTEX-ZPCL-0004.1,GTEX-ZPCL-0004-SM-4WWD6,GTEX-ZPCL,Cells - EBV-transformed lymphocytes,80013333
G34287.GTEX-XGQ4-0526-SM-4AT6C.2,GTEX-XGQ4-0526-SM-4AT6C,GTEX-XGQ4,Heart - Atrial Appendage,75093333
G25904.GTEX-PLZ6-1626-SM-3NB23.2,GTEX-PLZ6-1626-SM-3NB23,GTEX-PLZ6,Artery - Tibial,124613333
G34381.GTEX-XOTO-0726-SM-4B659.3,GTEX-XOTO-0726-SM-4B659,GTEX-XOTO,Skin - Not Sun Exposed (Suprapubic),82013333
G60588.GTEX-13FTW-2126.2,GTEX-13FTW-2126-SM-5K7YG,GTEX-13FTW,Colon - Sigmoid,69440000
G21035.GTEX-T6MO-0326-SM-32QOK.1,GTEX-T6MO-0326-SM-32QOK,GTEX-T6MO,Breast - Mammary Tissue,103853333
G58545.GTEX-12WSM-0011-R6b.2,GTEX-12WSM-0011-R6b-SM-5EQ6N,GTEX-12WSM,Brain - Nucleus accumbens (basal ganglia),103720000
G61831.GTEX-13X6I-0926.2,GTEX-13X6I-0926-SM-5LUAB,GTEX-13X6I,Artery - Aorta,66706666
G52397.GTEX-ZPU1-2026.1,GTEX-ZPU1-2026-SM-57WFI,GTEX-ZPU1,Prostate,74946666
G64234.GTEX-145MN-0626.1,GTEX-145MN-0626-SM-5QGRH,GTEX-145MN,Heart - Left Ventricle,85080000
G64352.GTEX-145MN-1126.1,GTEX-145MN-1126-SM-5RQJB,GTEX-145MN,Esophagus - Muscularis,69626666
G61025.GTEX-13QBU-1126.2,GTEX-13QBU-1126-SM-5LU44,GTEX-13QBU,Stomach,74800000
G32745.GTEX-RU1J-1326-SM-46MUL.2,GTEX-RU1J-1326-SM-46MUL,GTEX-RU1J,Colon - Transverse,73173333
G23358.GTEX-R55C-0005-SM-3GAE9.1,GTEX-R55C-0005-SM-3GAE9,GTEX-R55C,Whole Blood,105026666
G60662.GTEX-131XH-0011-R6a.2,GTEX-131XH-0011-R6a-SM-5KM2G,GTEX-131XH,Brain - Nucleus accumbens (basal ganglia),85920000
G62172.GTEX-ZY6K-0126.2,GTEX-ZY6K-0126-SM-5SIAM,GTEX-ZY6K,Adrenal Gland,70306666
G59186.GTEX-1211K-2226.3,GTEX-1211K-2226-SM-5FQU6,GTEX-1211K,Adipose - Subcutaneous,71306666
G64378.GTEX-Y5V5-0326.1,GTEX-Y5V5-0326-SM-5RQJG,GTEX-Y5V5,Thyroid,62413333
G39656.GTEX-UPIC-0326-SM-4IHJ9.2,GTEX-UPIC-0326-SM-4IHJ9,GTEX-UPIC,Artery - Coronary,75400000
G60544.GTEX-13CIG-0011-R3b.2,GTEX-13CIG-0011-R3b-SM-5K7XF,GTEX-13CIG,Brain - Anterior cingulate cortex (BA24),71600000
G62650.GTEX-12126-0006.2,GTEX-12126-0006-SM-5O9B8,GTEX-12126,Whole Blood,91453333
G52274.GTEX-WHSE-1026.1,GTEX-WHSE-1026-SM-57WAX,GTEX-WHSE,Nerve - Tibial,92813333
G32814.GTEX-X585-0011-R6A-SM-46MVJ.2,GTEX-X585-0011-R6A-SM-46MVJ,GTEX-X585,Brain - Nucleus accumbens (basal ganglia),59000000
G58321.GTEX-11DYG-2026.2,GTEX-11DYG-2026-SM-5EGGX,GTEX-11DYG,Adipose - Visceral (Omentum),79986666
G34349.GTEX-XOT4-0005-SM-4B64S.3,GTEX-XOT4-0005-SM-4B64S,GTEX-XOT4,Whole Blood,93346666
G58448.GTEX-132Q8-0011-R1a.2,GTEX-132Q8-0011-R1a-SM-5EGLK,GTEX-132Q8,Brain - Hippocampus,81013333
G60652.GTEX-1339X-2426.2,GTEX-1339X-2426-SM-5KLYU,GTEX-1339X,Muscle - Skeletal,105026666
G62254.GTEX-14A5I-2726.2,GTEX-14A5I-2726-SM-5SIB3,GTEX-14A5I,Vagina,66680000
G61999.GTEX-13CF3-1126.2,GTEX-13CF3-1126-SM-5LZXB,GTEX-13CF3,Adipose - Visceral (Omentum),76173333
G33643.GTEX-REY6-1426-SM-48FDK.4,GTEX-REY6-1426-SM-48FDK,GTEX-REY6,Esophagus - Muscularis,74333333
G34464.GTEX-XQ8I-1526-SM-4BOOH.7,GTEX-XQ8I-1526-SM-4BOOH,GTEX-XQ8I,Esophagus - Mucosa,60253333
G26581.GTEX-WYVS-0526-SM-3NM9W.1,GTEX-WYVS-0526-SM-3NM9W,GTEX-WYVS,Lung,141133333
G53859.GTEX-11TUW-2926.2,GTEX-11TUW-2926-SM-5BC59,GTEX-11TUW,Artery - Tibial,71933333
G35290.GTEX-TSE9-2626-SM-4DXV2.8,GTEX-TSE9-2626-SM-4DXV2,GTEX-TSE9,Uterus,87200000
G61832.GTEX-144GM-1926.2,GTEX-144GM-1926-SM-5LUAN,GTEX-144GM,Adipose - Subcutaneous,58040000
G65081.GTEX-ZF2S-1526.2,GTEX-ZF2S-1526-SM-5S2OO,GTEX-ZF2S,Adipose - Visceral (Omentum),68786666
G46835.GTEX-Y8E4-0426.1,GTEX-Y8E4-0426-SM-4V6GB,GTEX-Y8E4,Heart - Atrial Appendage,111426666
G62778.GTEX-1445S-1226.3,GTEX-1445S-1226-SM-5O9BF,GTEX-1445S,Heart - Atrial Appendage,110040000
G63181.GTEX-145LU-0011-R8b.2,GTEX-145LU-0011-R8b-SM-5PNZG,GTEX-145LU,Brain - Hypothalamus,118253333
G26740.GTEX-UTHO-2926-SM-3P5Z9.2,GTEX-UTHO-2926-SM-3P5Z9,GTEX-UTHO,Brain - Cerebellum,127146666
G18447.GTEX-QV44-2026-SM-2S1RD.1,GTEX-QV44-2026-SM-2S1RD,GTEX-QV44,Muscle - Skeletal,94746666
G39675.GTEX-UPIC-1626-SM-4IHKT.2,GTEX-UPIC-1626-SM-4IHKT,GTEX-UPIC,Skin - Sun Exposed (Lower leg),88600000
G60199.GTEX-13N2G-2926.2,GTEX-13N2G-2926-SM-5IJEE,GTEX-13N2G,Pituitary,102386666
G23500.GTEX-WEY5-2226-SM-3GILQ.1,GTEX-WEY5-2226-SM-3GILQ,GTEX-WEY5,Nerve - Tibial,82986666
G49122.GTEX-Y9LG-0626.1,GTEX-Y9LG-0626-SM-4WWDH,GTEX-Y9LG,Esophagus - Mucosa,101786666
G60040.GTEX-13NYB-1026.1,GTEX-13NYB-1026-SM-5IFH3,GTEX-13NYB,Liver,76013333
G62800.GTEX-13RTJ-0011-R1a.3,GTEX-13RTJ-0011-R1a-SM-5O9D9,GTEX-13RTJ,Brain - Hippocampus,118693333
G56134.GTEX-ZA64-1626.2,GTEX-ZA64-1626-SM-5CVME,GTEX-ZA64,Testis,74026666
G35284.GTEX-U3ZH-1026.8,GTEX-U3ZH-1026-SM-4DXUZ,GTEX-U3ZH,Esophagus - Mucosa,67600000
G59830.GTEX-11LCK-2426.2,GTEX-11LCK-2426-SM-5HL5F,GTEX-11LCK,Breast - Mammary Tissue,64213333
G47176.GTEX-YECK-0526.1,GTEX-YECK-0526-SM-4W1ZD,GTEX-YECK,Artery - Tibial,125160000
G56092.GTEX-12WSK-1326.2,GTEX-12WSK-1326-SM-5CVNM,GTEX-12WSK,Esophagus - Gastroesophageal Junction,86893333
G61065.GTEX-13U4I-1926.2,GTEX-13U4I-1926-SM-5LU39,GTEX-13U4I,Uterus,93826666
G49129.GTEX-Y8LW-1226.1,GTEX-Y8LW-1226-SM-4WWDP,GTEX-Y8LW,Colon - Transverse,110106666
G46524.GTEX-Y8DK-0126.1,GTEX-Y8DK-0126-SM-4TT3L,GTEX-Y8DK,Skin - Sun Exposed (Lower leg),111400000
G59818.GTEX-11P82-0226.2,GTEX-11P82-0226-SM-5HL4O,GTEX-11P82,Thyroid,81080000
G35571.GTEX-X261-0011-R11A-SM-4E3JY.4,GTEX-X261-0011-R11A-SM-4E3JY,GTEX-X261,Brain - Cerebellar Hemisphere,105826666
G46537.GTEX-Y114-0326.2,GTEX-Y114-0326-SM-4TT99,GTEX-Y114,Artery - Coronary,81973333
G53083.GTEX-11GSP-2826.3,GTEX-11GSP-2826-SM-5A5LK,GTEX-11GSP,Nerve - Tibial,66733333
G62493.GTEX-ZV6S-1626.2,GTEX-ZV6S-1626-SM-5NQ81,GTEX-ZV6S,Adipose - Visceral (Omentum),69133333
G32959.GTEX-XAJ8-0126-SM-47JYG.3,GTEX-XAJ8-0126-SM-47JYG,GTEX-XAJ8,Spleen,68360000
G59503.GTEX-12WSB-0011-R7b.2,GTEX-12WSB-0011-R7b-SM-5GU6V,GTEX-12WSB,Brain - Putamen (basal ganglia),64120000
G20903.GTEX-T6MN-0005-SM-32PLJ.2,GTEX-T6MN-0005-SM-32PLJ,GTEX-T6MN,Whole Blood,104213333
G60970.GTEX-13OVJ-0011-R9b.2,GTEX-13OVJ-0011-R9b-SM-5L3GD,GTEX-13OVJ,Brain - Spinal cord (cervical c-1),89146666
G60759.GTEX-13O3Q-2126.2,GTEX-13O3Q-2126-SM-5KM4C,GTEX-13O3Q,Stomach,70000000
G63214.GTEX-145LS-0011-R8b.2,GTEX-145LS-0011-R8b-SM-5PNXA,GTEX-145LS,Brain - Hypothalamus,101293333
G65602.GTEX-14BMV-1026.3,GTEX-14BMV-1026-SM-5SI6B,GTEX-14BMV,Heart - Atrial Appendage,100266666
G65104.GTEX-11P82-0008.2,GTEX-11P82-0008-SM-5S2MS,GTEX-11P82,Cells - Transformed fibroblasts,70733333
G33773.GTEX-QDVN-0526-SM-48TZ4.3,GTEX-QDVN-0526-SM-48TZ4,GTEX-QDVN,Spleen,68640000
G64040.GTEX-13PVR-1726.1,GTEX-13PVR-1726-SM-5Q5EC,GTEX-13PVR,Colon - Sigmoid,91533333
G53037.GTEX-11I78-1226.3,GTEX-11I78-1226-SM-5A5K6,GTEX-11I78,Colon - Transverse,85933333
G63989.GTEX-145MF-1026.1,GTEX-145MF-1026-SM-5Q5EQ,GTEX-145MF,Adipose - Visceral (Omentum),88426666
G56096.GTEX-12WSK-0926.2,GTEX-12WSK-0926-SM-5CVNQ,GTEX-12WSK,Thyroid,95840000
G59315.GTEX-12WSH-0326.2,GTEX-12WSH-0326-SM-5GCNH,GTEX-12WSH,Testis,72040000
G65639.GTEX-QEG4-0326.2,GTEX-QEG4-0326-SM-5S2UQ,GTEX-QEG4,Adipose - Subcutaneous,85760000
G59241.GTEX-11ZUS-1826.3,GTEX-11ZUS-1826-SM-5FQTR,GTEX-11ZUS,Adipose - Visceral (Omentum),66293333
G63201.GTEX-13PDP-0011-R1a.2,GTEX-13PDP-0011-R1a-SM-5PNX5,GTEX-13PDP,Brain - Hippocampus,108386666
G62432.GTEX-13NYB-1726.2,GTEX-13NYB-1726-SM-5N9G2,GTEX-13NYB,Kidney - Cortex,102840000
G62527.GTEX-ZXES-1226.2,GTEX-ZXES-1226-SM-5NQ8G,GTEX-ZXES,Esophagus - Muscularis,66666666
G60806.GTEX-13O3Q-2626.2,GTEX-13O3Q-2626-SM-5KM3S,GTEX-13O3Q,Nerve - Tibial,66640000
G26632.GTEX-WHPG-0626-SM-3NMBD.1,GTEX-WHPG-0626-SM-3NMBD,GTEX-WHPG,Adipose - Visceral (Omentum),132026666
G65247.GTEX-14BIN-0011-R7b.2,GTEX-14BIN-0011-R7b-SM-5S2RI,GTEX-14BIN,Brain - Putamen (basal ganglia),66946666
G61155.GTEX-YEC4-1326.3,GTEX-YEC4-1326-SM-5IFHG,GTEX-YEC4,Pancreas,93680000
G60886.GTEX-1399U-1126.2,GTEX-1399U-1126-SM-5L3DB,GTEX-1399U,Skin - Not Sun Exposed (Suprapubic),77053333
G40758.GTEX-VJYA-0926-SM-4KL1N.2,GTEX-VJYA-0926-SM-4KL1N,GTEX-VJYA,Small Intestine - Terminal Ileum,85480000
G34743.GTEX-XXEK-1826-SM-4BRVC.1,GTEX-XXEK-1826-SM-4BRVC,GTEX-XXEK,Colon - Sigmoid,74973333
G59704.GTEX-1122O-0426.2,GTEX-1122O-0426-SM-5H12G,GTEX-1122O,Artery - Coronary,74640000
G34278.GTEX-XGQ4-1326-SM-4GIDU.2,GTEX-XGQ4-1326-SM-4GIDU,GTEX-XGQ4,Small Intestine - Terminal Ileum,82666666
G62704.GTEX-144GO-2026.2,GTEX-144GO-2026-SM-5O99P,GTEX-144GO,Skin - Not Sun Exposed (Suprapubic),69546666
G64125.GTEX-11GS4-0008.1,GTEX-11GS4-0008-SM-5QGRA,GTEX-11GS4,Cells - Transformed fibroblasts,71200000
G62519.GTEX-ZVP2-0126.2,GTEX-ZVP2-0126-SM-5NQ7D,GTEX-ZVP2,Adrenal Gland,86480000
G20870.GTEX-QMR6-0011-R7A-SM-32PKL.1,GTEX-QMR6-0011-R7A-SM-32PKL,GTEX-QMR6,Brain - Putamen (basal ganglia),163973333
G22933.GTEX-U4B1-0326-SM-3DB8K.1,GTEX-U4B1-0326-SM-3DB8K,GTEX-U4B1,Heart - Left Ventricle,116053333
G25677.GTEX-O5YT-2126-SM-3MJGD.1,GTEX-O5YT-2126-SM-3MJGD,GTEX-O5YT,Testis,124440000
G61962.GTEX-131XW-3126.2,GTEX-131XW-3126-SM-5LZUC,GTEX-131XW,Brain - Cortex,84226666
G33815.GTEX-PX3G-0426-SM-48U1C.3,GTEX-PX3G-0426-SM-48U1C,GTEX-PX3G,Artery - Aorta,67240000
G59329.GTEX-12WSM-0526.2,GTEX-12WSM-0526-SM-5GCO8,GTEX-12WSM,Artery - Tibial,76560000
G64224.GTEX-14753-0726.1,GTEX-14753-0726-SM-5QGQO,GTEX-14753,Skin - Not Sun Exposed (Suprapubic),63360000
G62587.GTEX-1497J-1026.2,GTEX-1497J-1026-SM-5NQAV,GTEX-1497J,Artery - Aorta,83413333
G60473.GTEX-13FTX-0226.2,GTEX-13FTX-0226-SM-5K7TX,GTEX-13FTX,Artery - Aorta,93106666
G53028.GTEX-ZY6K-0726.3,GTEX-ZY6K-0726-SM-5A5L8,GTEX-ZY6K,Stomach,69333333
G53058.GTEX-11EMC-1926.3,GTEX-11EMC-1926-SM-5A5JU,GTEX-11EMC,Vagina,76480000
G42465.GTEX-QLQ7-1426.2,GTEX-QLQ7-1426-SM-4R1JX,GTEX-QLQ7,Testis,65693333
G32768.GTEX-X4XY-0326-SM-46MVZ.2,GTEX-X4XY-0326-SM-46MVZ,GTEX-X4XY,Adipose - Subcutaneous,59733333
G59348.GTEX-12WSJ-1526.2,GTEX-12WSJ-1526-SM-5GCNI,GTEX-12WSJ,Colon - Transverse,71466666
G56116.GTEX-11ZVC-0426.2,GTEX-11ZVC-0426-SM-5CVLD,GTEX-11ZVC,Heart - Left Ventricle,87680000
G18686.GTEX-R55E-0826-SM-2TC5M.2,GTEX-R55E-0826-SM-2TC5M,GTEX-R55E,Thyroid,90973333
G61995.GTEX-13CF2-2826.2,GTEX-13CF2-2826-SM-5LZX9,GTEX-13CF2,Nerve - Tibial,60573333
G16748.GTEX-OXRN-2426.3,GTEX-OXRN-2426-SM-2I5EQ,GTEX-OXRN,Brain - Cortex,126573333
G53049.GTEX-11GS4-2326.3,GTEX-11GS4-2326-SM-5A5KS,GTEX-11GS4,Kidney - Cortex,126106666
G20895.GTEX-QMR6-1326-SM-32PLB.1,GTEX-QMR6-1326-SM-32PLB,GTEX-QMR6,Brain - Cerebellum,163426666
G21064.GTEX-T2IS-0426-SM-32QPE.1,GTEX-T2IS-0426-SM-32QPE,GTEX-T2IS,Heart - Left Ventricle,151240000
G20906.GTEX-T5JC-0011-R8A-SM-32PLM.2,GTEX-T5JC-0011-R8A-SM-32PLM,GTEX-T5JC,Brain - Hypothalamus,112413333
G33783.GTEX-QEG4-0126-SM-48TZE.3,GTEX-QEG4-0126-SM-48TZE,GTEX-QEG4,Testis,59906666
